Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
CARGLUMIC ACID,https://www.drugs.com/dosage/carglumic-acid.html,Hyperammonemia,Hyperammonemia |,,,[Adult] Hyperammonemia // [Pediatric] Hyperammonemia |
LINAGLIPTIN,https://www.drugs.com/dosage/linagliptin.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
LUMASIRAN,https://www.drugs.com/dosage/lumasiran.html,Primary Hyperoxaluria,Primary Hyperoxaluria |,,,[Adult] Primary Hyperoxaluria // [Pediatric] Primary Hyperoxaluria |
SETMELANOTIDE,https://www.drugs.com/dosage/setmelanotide.html,Obesity,Obesity |,,,[Adult] Obesity // [Pediatric] Obesity |
PENTOXIFYLLINE,https://www.drugs.com/dosage/pentoxifylline.html,Intermittent Claudication |,,,,[Adult] Intermittent Claudication |
VELAGLUCERASE ALFA,https://www.drugs.com/dosage/velaglucerase-alfa.html,Gaucher Disease,Gaucher Disease |,,,[Adult] Gaucher Disease // [Pediatric] Gaucher Disease |
THEOPHYLLINE,https://www.drugs.com/dosage/theophylline.html,Asthma - Maintenance | Asthma - Acute,Asthma - Maintenance | Asthma - Acute |,,,[Adult] Asthma - Maintenance | Asthma - Acute // [Pediatric] Asthma - Maintenance | Asthma - Acute |
TIZANIDINE,https://www.drugs.com/dosage/tizanidine.html,Muscle Spasm |,,,,[Adult] Muscle Spasm |
RALOXIFENE,https://www.drugs.com/dosage/raloxifene.html,Osteoporosis | Prevention of Osteoporosis | Prevention of Breast Cancer |,,,,[Adult] Osteoporosis | Prevention of Osteoporosis | Prevention of Breast Cancer |
Lazertinib,https://www.drugs.com/dosage/lazertinib.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
TOPIRAMATE,https://www.drugs.com/dosage/topiramate.html,Epilepsy | Migraine Prophylaxis | Lennox-Gastaut Syndrome,Epilepsy | Lennox-Gastaut Syndrome | Migraine Prophylaxis |,,,[Adult] Epilepsy | Migraine Prophylaxis | Lennox-Gastaut Syndrome // [Pediatric] Epilepsy | Lennox-Gastaut Syndrome | Migraine Prophylaxis |
BETAINE,https://www.drugs.com/dosage/betaine.html,Hyperhomocysteinemia,Hyperhomocysteinemia |,,,[Adult] Hyperhomocysteinemia // [Pediatric] Hyperhomocysteinemia |
DUPILUMAB,https://www.drugs.com/dosage/dupilumab.html,Atopic Dermatitis | Sinusitis | Asthma | Eosinophilic Esophagitis | Prurigo Nodularis,Atopic Dermatitis | Asthma | Eosinophilic Esophagitis |,,,[Adult] Atopic Dermatitis | Sinusitis | Asthma | Eosinophilic Esophagitis | Prurigo Nodularis // [Pediatric] Atopic Dermatitis | Asthma | Eosinophilic Esophagitis |
DEFERIPRONE,https://www.drugs.com/dosage/deferiprone.html,Thalassemia | Iron Overload,Thalassemia | Iron Overload |,,,[Adult] Thalassemia | Iron Overload // [Pediatric] Thalassemia | Iron Overload |
TOBRAMYCIN,https://www.drugs.com/dosage/tobramycin.html,Osteomyelitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Bacteremia | Pneumonia with Cystic Fibrosis | Cystic Fibrosis | Meningitis | CNS Infection | Shunt Infection | Intraabdominal Infection | Peritonitis | Endocarditis,Bacteremia | Osteomyelitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Burns - External | Cystic Fibrosis | Pneumonia with Cystic Fibrosis | Meningitis | Shunt Infection | Intraabdominal Infection | Peritonitis | Endocarditis |,,,[Adult] Osteomyelitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Bacteremia | Pneumonia with Cystic Fibrosis | Cystic Fibrosis | Meningitis | CNS Infection | Shunt Infection | Intraabdominal Infection | Peritonitis | Endocarditis // [Pediatric] Bacteremia | Osteomyelitis | Pneumonia | Pyelonephritis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Burns - External | Cystic Fibrosis | Pneumonia with Cystic Fibrosis | Meningitis | Shunt Infection | Intraabdominal Infection | Peritonitis | Endocarditis |
IRON SUCROSE,https://www.drugs.com/dosage/iron-sucrose.html,Iron Deficiency Anemia,Iron Deficiency Anemia |,,,[Adult] Iron Deficiency Anemia // [Pediatric] Iron Deficiency Anemia |
CHLORAL HYDRATE,https://www.drugs.com/dosage/chloral-hydrate.html,Insomnia | Sedation,Insomnia | Sedation |,,,[Adult] Insomnia | Sedation // [Pediatric] Insomnia | Sedation |
DOLUTEGRAVIR,https://www.drugs.com/dosage/dolutegravir.html,HIV Infection | Nonoccupational Exposure,HIV Infection | Nonoccupational Exposure |,,,[Adult] HIV Infection | Nonoccupational Exposure // [Pediatric] HIV Infection | Nonoccupational Exposure |
NIZATIDINE,https://www.drugs.com/dosage/nizatidine.html,Duodenal Ulcer | Duodenal Ulcer Prophylaxis | Gastric Ulcer | Erosive Esophagitis | Gastroesophageal Reflux Disease,Erosive Esophagitis | Gastroesophageal Reflux Disease |,,,[Adult] Duodenal Ulcer | Duodenal Ulcer Prophylaxis | Gastric Ulcer | Erosive Esophagitis | Gastroesophageal Reflux Disease // [Pediatric] Erosive Esophagitis | Gastroesophageal Reflux Disease |
SARILUMAB,https://www.drugs.com/dosage/sarilumab.html,Rheumatoid Arthritis | Polymyalgia Rheumatica |,,,,[Adult] Rheumatoid Arthritis | Polymyalgia Rheumatica |
LECANEMAB,https://www.drugs.com/dosage/lecanemab.html,Alzheimer's Disease |,,,,[Adult] Alzheimer's Disease |
DEGARELIX,https://www.drugs.com/dosage/degarelix.html,Prostate Cancer |,,,,[Adult] Prostate Cancer |
AZITHROMYCIN,https://www.drugs.com/dosage/azithromycin.html,Legionella Pneumonia | Mycoplasma Pneumonia | Pneumonia | Tonsillitis/Pharyngitis | Sinusitis | Skin and Structure Infection | Bartonellosis | Gonococcal Infection - Uncomplicated | Chlamydia Infection | Cervicitis | Nongonococcal Urethritis | Chancroid | Pelvic Inflammatory Disease | Bronchitis | Mycobacterium avium-intracellulare - Prophylaxis | Mycobacterium avium-intracellulare - Treatment | Mycobacterium kansasii | Granuloma Inguinale | Pertussis Prophylaxis | Pertussis | Lyme Disease - Erythema Chronicum Migrans | Babesiosis | Bacterial Endocarditis Prophylaxis | Shigellosis | Campylobacter Gastroenteritis | Bacterial Infection | Syphilis - Early,Otitis Media | Legionella Pneumonia | Mycoplasma Pneumonia | Pneumonia | Tonsillitis/Pharyngitis | Sinusitis | Pelvic Inflammatory Disease | Bartonellosis | Skin and Structure Infection | Gonococcal Infection - Uncomplicated | Chlamydia Infection | Mycobacterium avium-intracellulare - Prophylaxis | Mycobacterium avium-intracellulare - Treatment | Pertussis Prophylaxis | Pertussis | Lyme Disease - Erythema Chronicum Migrans | Babesiosis | Bacterial Endocarditis Prophylaxis | Shigellosis | Campylobacter Gastroenteritis | Syphilis - Early |,,,[Adult] Legionella Pneumonia | Mycoplasma Pneumonia | Pneumonia | Tonsillitis/Pharyngitis | Sinusitis | Skin and Structure Infection | Bartonellosis | Gonococcal Infection - Uncomplicated | Chlamydia Infection | Cervicitis | Nongonococcal Urethritis | Chancroid | Pelvic Inflammatory Disease | Bronchitis | Mycobacterium avium-intracellulare - Prophylaxis | Mycobacterium avium-intracellulare - Treatment | Mycobacterium kansasii | Granuloma Inguinale | Pertussis Prophylaxis | Pertussis | Lyme Disease - Erythema Chronicum Migrans | Babesiosis | Bacterial Endocarditis Prophylaxis | Shigellosis | Campylobacter Gastroenteritis | Bacterial Infection | Syphilis - Early // [Pediatric] Otitis Media | Legionella Pneumonia | Mycoplasma Pneumonia | Pneumonia | Tonsillitis/Pharyngitis | Sinusitis | Pelvic Inflammatory Disease | Bartonellosis | Skin and Structure Infection | Gonococcal Infection - Uncomplicated | Chlamydia Infection | Mycobacterium avium-intracellulare - Prophylaxis | Mycobacterium avium-intracellulare - Treatment | Pertussis Prophylaxis | Pertussis | Lyme Disease - Erythema Chronicum Migrans | Babesiosis | Bacterial Endocarditis Prophylaxis | Shigellosis | Campylobacter Gastroenteritis | Syphilis - Early |
DAPTOMYCIN,https://www.drugs.com/dosage/daptomycin.html,Skin and Structure Infection | Bacteremia | Endocarditis,Skin and Structure Infection | Bacteremia |,,,[Adult] Skin and Structure Infection | Bacteremia | Endocarditis // [Pediatric] Skin and Structure Infection | Bacteremia |
GOSERELIN,https://www.drugs.com/dosage/goserelin.html,Prostate Cancer | Endometriosis | Breast Cancer-Palliative | Bleeding |,,,,[Adult] Prostate Cancer | Endometriosis | Breast Cancer-Palliative | Bleeding |
ROMIPLOSTIM,https://www.drugs.com/dosage/romiplostim.html,Idiopathic (Immune) Thrombocytopenic Purpura,Idiopathic (Immune) Thrombocytopenic Purpura |,,,[Adult] Idiopathic (Immune) Thrombocytopenic Purpura // [Pediatric] Idiopathic (Immune) Thrombocytopenic Purpura |
ISONIAZID,https://www.drugs.com/dosage/isoniazid.html,Tuberculosis - Extrapulmonary | Tuberculosis - Active | Tuberculosis - Latent | Tuberculosis - Prophylaxis | Mycobacterium kansasii,Tuberculosis - Extrapulmonary | Tuberculosis - Active | Tuberculosis - Latent | Tuberculous Meningitis | Tuberculosis - Prophylaxis |,,,[Adult] Tuberculosis - Extrapulmonary | Tuberculosis - Active | Tuberculosis - Latent | Tuberculosis - Prophylaxis | Mycobacterium kansasii // [Pediatric] Tuberculosis - Extrapulmonary | Tuberculosis - Active | Tuberculosis - Latent | Tuberculous Meningitis | Tuberculosis - Prophylaxis |
CEFTAZIDIME,https://www.drugs.com/dosage/ceftazidime.html,Bacteremia | Meningitis | Sepsis | Endometriosis | Pelvic Inflammatory Disease | Pelvic Infections | Endometritis | Osteomyelitis | Joint Infection | Peritonitis | Intraabdominal Infection | Pneumonia | Pneumonia with Cystic Fibrosis | Nosocomial Pneumonia | Febrile Neutropenia | Skin or Soft Tissue Infection | Urinary Tract Infection | Cystitis | Endocarditis,Septicemia | Nosocomial Pneumonia | Skin and Structure Infection | Urinary Tract Infection | Pyelonephritis | Pneumonia with Cystic Fibrosis | Pneumonia | Peritonitis | Osteomyelitis | Meningitis | Joint Infection | Intraabdominal Infection | Cystitis | Bacteremia | Bacterial Infection | Endocarditis |,,,[Adult] Bacteremia | Meningitis | Sepsis | Endometriosis | Pelvic Inflammatory Disease | Pelvic Infections | Endometritis | Osteomyelitis | Joint Infection | Peritonitis | Intraabdominal Infection | Pneumonia | Pneumonia with Cystic Fibrosis | Nosocomial Pneumonia | Febrile Neutropenia | Skin or Soft Tissue Infection | Urinary Tract Infection | Cystitis | Endocarditis // [Pediatric] Septicemia | Nosocomial Pneumonia | Skin and Structure Infection | Urinary Tract Infection | Pyelonephritis | Pneumonia with Cystic Fibrosis | Pneumonia | Peritonitis | Osteomyelitis | Meningitis | Joint Infection | Intraabdominal Infection | Cystitis | Bacteremia | Bacterial Infection | Endocarditis |
POMALIDOMIDE,https://www.drugs.com/dosage/pomalidomide.html,Multiple Myeloma | Kaposi's Sarcoma |,,,,[Adult] Multiple Myeloma | Kaposi's Sarcoma |
GLYCOPYRROLATE,https://www.drugs.com/dosage/glycopyrrolate.html,Anesthesia | Peptic Ulcer | Chronic Obstructive Pulmonary Disease - Maintenance,Anesthesia | Excessive Salivation |,,,[Adult] Anesthesia | Peptic Ulcer | Chronic Obstructive Pulmonary Disease - Maintenance // [Pediatric] Anesthesia | Excessive Salivation |
ONDANSETRON,https://www.drugs.com/dosage/ondansetron.html,Nausea/Vomiting - Chemotherapy Induced | Nausea/Vomiting | Nausea/Vomiting - Postoperative | Nausea/Vomiting - Radiation Induced,Nausea/Vomiting - Postoperative | Nausea/Vomiting - Chemotherapy Induced |,,,[Adult] Nausea/Vomiting - Chemotherapy Induced | Nausea/Vomiting | Nausea/Vomiting - Postoperative | Nausea/Vomiting - Radiation Induced // [Pediatric] Nausea/Vomiting - Postoperative | Nausea/Vomiting - Chemotherapy Induced |
VIGABATRIN,https://www.drugs.com/dosage/vigabatrin.html,Epilepsy,Infantile Spasms | Epilepsy |,,,[Adult] Epilepsy // [Pediatric] Infantile Spasms | Epilepsy |
ESCITALOPRAM,https://www.drugs.com/dosage/escitalopram.html,Generalized Anxiety Disorder | Depression,Depression |,,,[Adult] Generalized Anxiety Disorder | Depression // [Pediatric] Depression |
FERROUS SULFATE,https://www.drugs.com/dosage/ferrous-sulfate.html,Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure | Vitamin/Mineral Supplementation,Iron Deficiency Anemia | Vitamin/Mineral Supplementation |,,,[Adult] Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure | Vitamin/Mineral Supplementation // [Pediatric] Iron Deficiency Anemia | Vitamin/Mineral Supplementation |
Eplontersen,https://www.drugs.com/dosage/eplontersen.html,Hereditary Amyloidosis |,,,,[Adult] Hereditary Amyloidosis |
DROPERIDOL,https://www.drugs.com/dosage/droperidol.html,Nausea/Vomiting | Nausea/Vomiting - Postoperative,Nausea/Vomiting | Nausea/Vomiting - Postoperative |,,,[Adult] Nausea/Vomiting | Nausea/Vomiting - Postoperative // [Pediatric] Nausea/Vomiting | Nausea/Vomiting - Postoperative |
ABACAVIR,https://www.drugs.com/dosage/abacavir.html,HIV Infection | Nonoccupational Exposure | Occupational Exposure,HIV Infection |,,,[Adult] HIV Infection | Nonoccupational Exposure | Occupational Exposure // [Pediatric] HIV Infection |
IDURSULFASE,https://www.drugs.com/dosage/idursulfase.html,Mucopolysaccharidosis Type II,Mucopolysaccharidosis Type II |,,,[Adult] Mucopolysaccharidosis Type II // [Pediatric] Mucopolysaccharidosis Type II |
EZETIMIBE,https://www.drugs.com/dosage/ezetimibe.html,Hyperlipidemia | Homozygous Familial Hypercholesterolemia | Sitosterolemia | Heterozygous Familial Hypercholesterolemia,Homozygous Familial Hypercholesterolemia | Sitosterolemia | Heterozygous Familial Hypercholesterolemia |,,,[Adult] Hyperlipidemia | Homozygous Familial Hypercholesterolemia | Sitosterolemia | Heterozygous Familial Hypercholesterolemia // [Pediatric] Homozygous Familial Hypercholesterolemia | Sitosterolemia | Heterozygous Familial Hypercholesterolemia |
FENOFIBRATE,https://www.drugs.com/dosage/fenofibrate.html,Hyperlipidemia | Hyperlipoproteinemia Type IIa (Elevated LDL) | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Dyslipidemia | Hyperlipoproteinemia Type IV (Elevated VLDL) | Hyperlipoproteinemia Type V (Elevated Chylomicrons + VLDL) | Hypertriglyceridemia |,,,,[Adult] Hyperlipidemia | Hyperlipoproteinemia Type IIa (Elevated LDL) | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Dyslipidemia | Hyperlipoproteinemia Type IV (Elevated VLDL) | Hyperlipoproteinemia Type V (Elevated Chylomicrons + VLDL) | Hypertriglyceridemia |
SEMAGLUTIDE,https://www.drugs.com/dosage/semaglutide.html,Diabetes Type 2 | Cardiovascular Risk Reduction | Weight Loss |,,,,[Adult] Diabetes Type 2 | Cardiovascular Risk Reduction | Weight Loss |
ZOLPIDEM,https://www.drugs.com/dosage/zolpidem.html,Insomnia,,,,[Adult] Insomnia
Mitapivat,https://www.drugs.com/dosage/mitapivat.html,Hemolytic Anemia |,,,,[Adult] Hemolytic Anemia |
FERROUS FUMARATE,https://www.drugs.com/dosage/ferrous-fumarate.html,Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure | Vitamin/Mineral Supplementation,Iron Deficiency Anemia | Vitamin/Mineral Supplementation |,,,[Adult] Iron Deficiency Anemia | Anemia Associated with Chronic Renal Failure | Vitamin/Mineral Supplementation // [Pediatric] Iron Deficiency Anemia | Vitamin/Mineral Supplementation |
IVOSIDENIB,https://www.drugs.com/dosage/ivosidenib.html,Acute Myeloid Leukemia | Cholangiocarcinoma of biliary tract |,,,,[Adult] Acute Myeloid Leukemia | Cholangiocarcinoma of biliary tract |
TEPOTINIB,https://www.drugs.com/dosage/tepotinib.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
"AZILSARTAN MEDOXOMIL, CHLORTHALIDONE",https://www.drugs.com/dosage/azilsartan-medoxomil-chlorthalidone.html,Hypertension |,,,,[Adult] Hypertension |
TRABECTEDIN,https://www.drugs.com/dosage/trabectedin.html,Soft Tissue Sarcoma |,,,,[Adult] Soft Tissue Sarcoma |
FLUOROURACIL,https://www.drugs.com/dosage/fluorouracil.html,Colorectal Cancer | Breast Cancer | Stomach Cancer | Pancreatic Cancer |,,,,[Adult] Colorectal Cancer | Breast Cancer | Stomach Cancer | Pancreatic Cancer |
"CALCIUM CARBONATE, MAGNESIUM CARBONATE",https://www.drugs.com/dosage/calcium-carbonate-magnesium-carbonate.html,Hyperphosphatemia of Renal Failure |,,,,[Adult] Hyperphosphatemia of Renal Failure |
INDOCYANINE GREEN,https://www.drugs.com/dosage/indocyanine-green.html,Diagnostic,Diagnostic |,,,[Adult] Diagnostic // [Pediatric] Diagnostic |
IRBESARTAN,https://www.drugs.com/dosage/irbesartan.html,Hypertension | Diabetic Nephropathy |,,,,[Adult] Hypertension | Diabetic Nephropathy |
TALAZOPARIB,https://www.drugs.com/dosage/talazoparib.html,Breast Cancer |,,,,[Adult] Breast Cancer |
"ALOGLIPTIN, PIOGLITAZONE",https://www.drugs.com/dosage/alogliptin-pioglitazone.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
CYCLOPHOSPHAMIDE,https://www.drugs.com/dosage/cyclophosphamide.html,Malignant Disease,Malignant Disease | Nephrotic Syndrome |,,,[Adult] Malignant Disease // [Pediatric] Malignant Disease | Nephrotic Syndrome |
Deflazacort,https://www.drugs.com/dosage/deflazacort.html,Muscular Dystrophy,Muscular Dystrophy |,,,[Adult] Muscular Dystrophy // [Pediatric] Muscular Dystrophy |
REGORAFENIB,https://www.drugs.com/dosage/regorafenib.html,Colorectal Cancer | Gastrointestinal Stromal Tumor | Hepatocellular Carcinoma |,,,,[Adult] Colorectal Cancer | Gastrointestinal Stromal Tumor | Hepatocellular Carcinoma |
CINACALCET,https://www.drugs.com/dosage/cinacalcet.html,Secondary Hyperparathyroidism | Hypercalcemia of Malignancy | Primary Hyperparathyroidism |,,,,[Adult] Secondary Hyperparathyroidism | Hypercalcemia of Malignancy | Primary Hyperparathyroidism |
MARALIXIBAT,https://www.drugs.com/dosage/maralixibat.html,Pruritus | Pruritus of Partial Biliary Obstruction,Pruritus | Pruritus of Partial Biliary Obstruction |,,,[Adult] Pruritus | Pruritus of Partial Biliary Obstruction // [Pediatric] Pruritus | Pruritus of Partial Biliary Obstruction |
TENOFOVIR ALAFENAMIDE,https://www.drugs.com/dosage/tenofovir-alafenamide.html,HIV Infection | Chronic Hepatitis B | Occupational Exposure | Nonoccupational Exposure,HIV Infection | Chronic Hepatitis B | Nonoccupational Exposure |,,,[Adult] HIV Infection | Chronic Hepatitis B | Occupational Exposure | Nonoccupational Exposure // [Pediatric] HIV Infection | Chronic Hepatitis B | Nonoccupational Exposure |
MAGNESIUM CITRATE,https://www.drugs.com/dosage/magnesium-citrate.html,Constipation,Constipation |,,,[Adult] Constipation // [Pediatric] Constipation |
LINEZOLID,https://www.drugs.com/dosage/linezolid.html,Bacteremia | Pneumonia | Bacterial Infection | Nosocomial Pneumonia | Skin and Structure Infection,Bacteremia | Pneumonia | Bacterial Infection | Nosocomial Pneumonia | Skin and Structure Infection |,,,[Adult] Bacteremia | Pneumonia | Bacterial Infection | Nosocomial Pneumonia | Skin and Structure Infection // [Pediatric] Bacteremia | Pneumonia | Bacterial Infection | Nosocomial Pneumonia | Skin and Structure Infection |
APIXABAN,https://www.drugs.com/dosage/apixaban.html,Deep Vein Thrombosis - Prophylaxis | Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery | Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery | Prevention of Thromboembolism in Atrial Fibrillation | Thromboembolic Stroke Prophylaxis | Deep Vein Thrombosis | Pulmonary Embolism |,,,,[Adult] Deep Vein Thrombosis - Prophylaxis | Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery | Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery | Prevention of Thromboembolism in Atrial Fibrillation | Thromboembolic Stroke Prophylaxis | Deep Vein Thrombosis | Pulmonary Embolism |
Sitagliptin,https://www.drugs.com/dosage/sitagliptin.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
UPADACITINIB,https://www.drugs.com/dosage/upadacitinib.html,Rheumatoid Arthritis | Psoriatic Arthritis | Atopic Dermatitis | Ulcerative Colitis - Active | Ulcerative Colitis - Maintenance | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ankylosing Spondylitis | Axial Spondyloarthritis,Atopic Dermatitis |,,,[Adult] Rheumatoid Arthritis | Psoriatic Arthritis | Atopic Dermatitis | Ulcerative Colitis - Active | Ulcerative Colitis - Maintenance | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ankylosing Spondylitis | Axial Spondyloarthritis // [Pediatric] Atopic Dermatitis |
EPOETIN ALFA,https://www.drugs.com/dosage/epoetin-alfa.html,Anemia Associated with Zidovudine | Anemia Associated with Chemotherapy | Anemia Associated with Chronic Renal Failure | Anemia Prior to Surgery,Anemia Associated with Chemotherapy | Anemia Associated with Chronic Renal Failure |,,,[Adult] Anemia Associated with Zidovudine | Anemia Associated with Chemotherapy | Anemia Associated with Chronic Renal Failure | Anemia Prior to Surgery // [Pediatric] Anemia Associated with Chemotherapy | Anemia Associated with Chronic Renal Failure |
BRIVARACETAM,https://www.drugs.com/dosage/brivaracetam.html,Epilepsy,Epilepsy |,,,[Adult] Epilepsy // [Pediatric] Epilepsy |
DEFERASIROX,https://www.drugs.com/dosage/deferasirox.html,Iron Overload | Thalassemia,Iron Overload | Thalassemia |,,,[Adult] Iron Overload | Thalassemia // [Pediatric] Iron Overload | Thalassemia |
SODIUM POLYSTYRENE SULFONATE,https://www.drugs.com/dosage/sodium-polystyrene-sulfonate.html,Hyperkalemia,Hyperkalemia |,,,[Adult] Hyperkalemia // [Pediatric] Hyperkalemia |
Marstacimab,https://www.drugs.com/dosage/marstacimab.html,Bleeding,Bleeding |,,,[Adult] Bleeding // [Pediatric] Bleeding |
RIVASTIGMINE,https://www.drugs.com/dosage/rivastigmine.html,Alzheimer's Disease | Parkinson's Disease |,,,,[Adult] Alzheimer's Disease | Parkinson's Disease |
Vorasidenib,https://www.drugs.com/dosage/vorasidenib.html,Brain/Intracranial Tumor,Brain/Intracranial Tumor |,,,[Adult] Brain/Intracranial Tumor // [Pediatric] Brain/Intracranial Tumor |
IODIXANOL,https://www.drugs.com/dosage/iodixanol.html,Intra-arterial Digital Subtraction Angiography | Computed Tomography | Urography | Venography | Peripheral Arteriography | Cerebral Arteriography | Coronary Arteriography | Aortography | Renal Arteriography,Cerebral Arteriography | Intra-arterial Digital Subtraction Angiography | Coronary Arteriography | Renal Arteriography | Aortography | Peripheral Arteriography | Computed Tomography | Urography | Venography |,,,[Adult] Intra-arterial Digital Subtraction Angiography | Computed Tomography | Urography | Venography | Peripheral Arteriography | Cerebral Arteriography | Coronary Arteriography | Aortography | Renal Arteriography // [Pediatric] Cerebral Arteriography | Intra-arterial Digital Subtraction Angiography | Coronary Arteriography | Renal Arteriography | Aortography | Peripheral Arteriography | Computed Tomography | Urography | Venography |
VINCRISTINE,https://www.drugs.com/dosage/vincristine.html,Malignant Disease | Solid Tumors,Malignant Disease | Solid Tumors |,,,[Adult] Malignant Disease | Solid Tumors // [Pediatric] Malignant Disease | Solid Tumors |
potassium citrate,https://www.drugs.com/dosage/potassium-citrate.html,Nephrolithiasis | Renal Tubular Acidosis |,,,,[Adult] Nephrolithiasis | Renal Tubular Acidosis |
"SOFOSBUVIR, VELPATASVIR, VOXILAPREVIR",https://www.drugs.com/dosage/sofosbuvir-velpatasvir-voxilaprevir.html,Chronic Hepatitis C |,,,,[Adult] Chronic Hepatitis C |
Mirikizumab,https://www.drugs.com/dosage/mirikizumab.html,Ulcerative Colitis |,,,,[Adult] Ulcerative Colitis |
ETANERCEPT,https://www.drugs.com/dosage/etanercept.html,Ankylosing Spondylitis | Rheumatoid Arthritis | Psoriatic Arthritis | Plaque Psoriasis,Juvenile Idiopathic Arthritis | Plaque Psoriasis |,,,[Adult] Ankylosing Spondylitis | Rheumatoid Arthritis | Psoriatic Arthritis | Plaque Psoriasis // [Pediatric] Juvenile Idiopathic Arthritis | Plaque Psoriasis |
"CARBIDOPA, LEVODOPA",https://www.drugs.com/dosage/carbidopa-levodopa.html,Parkinson's Disease |,,,,[Adult] Parkinson's Disease |
OMALIZUMAB,https://www.drugs.com/dosage/omalizumab.html,Asthma - Maintenance | Urticaria,Asthma - Maintenance | Urticaria |,,,[Adult] Asthma - Maintenance | Urticaria // [Pediatric] Asthma - Maintenance | Urticaria |
NIRAPARIB,https://www.drugs.com/dosage/niraparib.html,Ovarian Cancer | Fallopian Tube Cancer | Peritoneal Cancer |,,,,[Adult] Ovarian Cancer | Fallopian Tube Cancer | Peritoneal Cancer |
CABOZANTINIB,https://www.drugs.com/dosage/cabozantinib.html,Thyroid Cancer | Renal Cell Carcinoma | Hepatocellular Carcinoma,Thyroid Cancer |,,,[Adult] Thyroid Cancer | Renal Cell Carcinoma | Hepatocellular Carcinoma // [Pediatric] Thyroid Cancer |
ETOPOSIDE,https://www.drugs.com/dosage/etoposide.html,Testicular Cancer | Small Cell Lung Cancer |,,,,[Adult] Testicular Cancer | Small Cell Lung Cancer |
ISOTRETINOIN,https://www.drugs.com/dosage/isotretinoin.html,Acne,Acne |,,,[Adult] Acne // [Pediatric] Acne |
LENVATINIB,https://www.drugs.com/dosage/lenvatinib.html,Thyroid Cancer | Renal Cell Carcinoma | Hepatocellular Carcinoma | Endometrial Carcinoma |,,,,[Adult] Thyroid Cancer | Renal Cell Carcinoma | Hepatocellular Carcinoma | Endometrial Carcinoma |
PITOLISANT,https://www.drugs.com/dosage/pitolisant.html,Narcolepsy |,,,,[Adult] Narcolepsy |
PALIVIZUMAB,https://www.drugs.com/dosage/palivizumab.html,,Respiratory Syncytial Virus |,,,[Pediatric] Respiratory Syncytial Virus |
CHARCOAL,https://www.drugs.com/dosage/charcoal.html,Gastrointestinal Decontamination | Flatulence,Gastrointestinal Decontamination |,,,[Adult] Gastrointestinal Decontamination | Flatulence // [Pediatric] Gastrointestinal Decontamination |
ALPRAZOLAM,https://www.drugs.com/dosage/alprazolam.html,Anxiety | Panic Disorder,,,,[Adult] Anxiety | Panic Disorder
EFGARTIGIMOD ALFA,https://www.drugs.com/dosage/efgartigimod-alfa.html,Myasthenia Gravis |,,,,[Adult] Myasthenia Gravis |
RISANKIZUMAB,https://www.drugs.com/dosage/risankizumab.html,Psoriatic Arthritis | Plaque Psoriasis | Crohn's Disease - Acute | Crohn's Disease - Maintenance |,,,,[Adult] Psoriatic Arthritis | Plaque Psoriasis | Crohn's Disease - Acute | Crohn's Disease - Maintenance |
ORLISTAT,https://www.drugs.com/dosage/orlistat.html,Obesity,Obesity |,,,[Adult] Obesity // [Pediatric] Obesity |
OSILODROSTAT,https://www.drugs.com/dosage/osilodrostat.html,Cushing's Syndrome |,,,,[Adult] Cushing's Syndrome |
IRINOTECAN,https://www.drugs.com/dosage/irinotecan.html,Colorectal Cancer |,,,,[Adult] Colorectal Cancer |
Capecitabine,https://www.drugs.com/dosage/capecitabine.html,Colorectal Cancer | Breast Cancer | Esophageal Carcinoma | Gastric Cancer | Pancreatic Cancer |,,,,[Adult] Colorectal Cancer | Breast Cancer | Esophageal Carcinoma | Gastric Cancer | Pancreatic Cancer |
